date,blood_group,units_demanded
2006-02-07,AB,18
2006-02-07,B,142
2006-02-07,O,172
2006-02-08,A,147
2006-02-08,AB,33
2006-02-08,B,129
2006-02-08,O,181
2006-02-09,A,125
2006-02-09,AB,30
2006-02-09,B,136
2006-02-09,O,176
2006-02-10,A,138
2006-02-10,AB,27
2006-02-10,B,146
2006-02-10,O,206
2006-02-11,A,107
2006-02-11,AB,19
2006-02-11,B,147
2006-02-11,O,195
2006-02-12,A,149
2006-02-12,AB,35
2006-02-12,B,161
2006-02-12,O,192
2006-02-13,A,160
2006-02-13,AB,36
2006-02-13,B,165
2006-02-13,O,245
2006-02-14,A,150
2006-02-14,AB,46
2006-02-14,B,156
2006-02-14,O,223
2006-02-15,A,148
2006-02-15,AB,26
2006-02-15,B,181
2006-02-15,O,233
2006-02-16,A,133
2006-02-16,AB,31
2006-02-16,B,165
2006-02-16,O,206
2006-02-17,A,149
2006-02-17,AB,38
2006-02-17,B,169
2006-02-17,O,199
2006-02-18,A,114
2006-02-18,AB,36
2006-02-18,B,164
2006-02-18,O,180
2006-02-19,A,102
2006-02-19,AB,33
2006-02-19,B,147
2006-02-19,O,161
2006-02-20,A,140
2006-02-20,AB,28
2006-02-20,B,132
2006-02-20,O,201
2006-02-21,A,124
2006-02-21,AB,39
2006-02-21,B,182
2006-02-21,O,212
2006-02-22,A,147
2006-02-22,AB,32
2006-02-22,B,178
2006-02-22,O,208
2006-02-23,A,143
2006-02-23,AB,29
2006-02-23,B,179
2006-02-23,O,193
2006-02-24,A,142
2006-02-24,AB,30
2006-02-24,B,138
2006-02-24,O,196
2006-02-25,A,125
2006-02-25,AB,38
2006-02-25,B,141
2006-02-25,O,168
2006-02-26,A,107
2006-02-26,AB,38
2006-02-26,B,169
2006-02-26,O,229
2006-02-27,A,159
2006-02-27,AB,43
2006-02-27,B,155
2006-02-27,O,214
2006-02-28,A,134
2006-02-28,AB,38
2006-02-28,B,212
2006-02-28,O,202
2006-03-01,A,171
2006-03-01,AB,40
2006-03-01,B,178
2006-03-01,O,229
2006-03-02,A,159
2006-03-02,AB,43
2006-03-02,B,197
2006-03-02,O,245
2006-03-03,A,138
2006-03-03,AB,48
2006-03-03,B,162
2006-03-03,O,211
2006-03-04,A,131
2006-03-04,AB,40
2006-03-04,B,170
2006-03-04,O,200
2006-03-05,A,132
2006-03-05,AB,43
2006-03-05,B,171
2006-03-05,O,513
2006-03-06,A,141
2006-03-06,AB,51
2006-03-06,B,167
2006-03-06,O,245
2006-03-07,A,157
2006-03-07,AB,62
2006-03-07,B,185
2006-03-07,O,237
2006-03-08,A,171
2006-03-08,AB,48
2006-03-08,B,211
2006-03-08,O,277
2006-03-09,A,157
2006-03-09,AB,36
2006-03-09,B,230
2006-03-09,O,259
2006-03-10,A,170
2006-03-10,AB,37
2006-03-10,B,212
2006-03-10,O,234
2006-03-11,A,134
2006-03-11,AB,65
2006-03-11,B,170
2006-03-11,O,237
2006-03-12,A,141
2006-03-12,AB,39
2006-03-12,B,174
2006-03-12,O,200
2006-03-13,A,124
2006-03-13,AB,49
2006-03-13,B,190
2006-03-13,O,212
2006-03-14,A,132
2006-03-14,AB,36
2006-03-14,B,190
2006-03-14,O,215
2006-03-15,A,141
2006-03-15,AB,46
2006-03-15,B,173
2006-03-15,O,214
2006-03-16,A,156
2006-03-16,AB,42
2006-03-16,B,180
2006-03-16,O,245
2006-03-17,A,173
2006-03-17,AB,39
2006-03-17,B,184
2006-03-17,O,197
2006-03-18,A,123
2006-03-18,AB,46
2006-03-18,B,128
2006-03-18,O,199
2006-03-19,A,131
2006-03-19,AB,38
2006-03-19,B,164
2006-03-19,O,210
2006-03-20,A,168
2006-03-20,AB,37
2006-03-20,B,151
2006-03-20,O,212
2006-03-21,A,148
2006-03-21,AB,48
2006-03-21,B,169
2006-03-21,O,209
2006-03-22,A,148
2006-03-22,AB,31
2006-03-22,B,174
2006-03-22,O,248
2006-03-23,A,138
2006-03-23,AB,43
2006-03-23,B,162
2006-03-23,O,206
2006-03-24,A,151
2006-03-24,AB,40
2006-03-24,B,160
2006-03-24,O,230
2006-03-25,A,133
2006-03-25,AB,35
2006-03-25,B,137
2006-03-25,O,189
2006-03-26,A,116
2006-03-26,AB,41
2006-03-26,B,161
2006-03-26,O,204
2006-03-27,A,160
2006-03-27,AB,33
2006-03-27,B,170
2006-03-27,O,242
2006-03-28,A,157
2006-03-28,AB,36
2006-03-28,B,173
2006-03-28,O,240
2006-03-29,A,167
2006-03-29,AB,36
2006-03-29,B,161
2006-03-29,O,253
2006-03-30,A,163
2006-03-30,AB,34
2006-03-30,B,188
2006-03-30,O,244
2006-03-31,A,150
2006-03-31,AB,44
2006-03-31,B,163
2006-03-31,O,220
2006-04-01,A,136
2006-04-01,AB,39
2006-04-01,B,174
2006-04-01,O,220
2006-04-02,A,145
2006-04-02,AB,31
2006-04-02,B,159
2006-04-02,O,238
2006-04-03,A,149
2006-04-03,AB,42
2006-04-03,B,324
2006-04-03,O,245
2006-04-04,A,158
2006-04-04,AB,32
2006-04-04,B,167
2006-04-04,O,234
2006-04-05,A,153
2006-04-05,AB,35
2006-04-05,B,177
2006-04-05,O,246
2006-04-06,A,179
2006-04-06,AB,36
2006-04-06,B,178
2006-04-06,O,225
2006-04-07,A,141
2006-04-07,AB,45
2006-04-07,B,183
2006-04-07,O,203
2006-04-08,A,148
2006-04-08,AB,32
2006-04-08,B,168
2006-04-08,O,215
2006-04-09,A,115
2006-04-09,AB,36
2006-04-09,B,139
2006-04-09,O,206
2006-04-10,A,159
2006-04-10,AB,43
2006-04-10,B,153
2006-04-10,O,272
2006-04-11,A,151
2006-04-11,AB,43
2006-04-11,B,183
2006-04-11,O,232
2006-04-12,A,146
2006-04-12,AB,43
2006-04-12,B,164
2006-04-12,O,238
2006-04-13,A,153
2006-04-13,AB,35
2006-04-13,B,150
2006-04-13,O,228
2006-04-14,A,147
2006-04-14,AB,33
2006-04-14,B,173
2006-04-14,O,205
2006-04-15,A,133
2006-04-15,AB,41
2006-04-15,B,141
2006-04-15,O,202
2006-04-16,A,102
2006-04-16,AB,39
2006-04-16,B,146
2006-04-16,O,172
2006-04-17,A,122
2006-04-17,AB,44
2006-04-17,B,157
2006-04-17,O,208
2006-04-18,A,133
2006-04-18,AB,41
2006-04-18,B,133
2006-04-18,O,198
2006-04-19,A,173
2006-04-19,AB,43
2006-04-19,B,176
2006-04-19,O,207
2006-04-20,A,161
2006-04-20,AB,38
2006-04-20,B,168
2006-04-20,O,197
2006-04-21,A,163
2006-04-21,AB,39
2006-04-21,B,153
2006-04-21,O,168
2006-04-22,A,121
2006-04-22,AB,32
2006-04-22,B,153
2006-04-22,O,178
2006-04-23,A,124
2006-04-23,AB,34
2006-04-23,B,150
2006-04-23,O,198
2006-04-24,A,137
2006-04-24,AB,32
2006-04-24,B,160
2006-04-24,O,216
2006-04-25,A,118
2006-04-25,AB,33
2006-04-25,B,163
2006-04-25,O,205
2006-04-26,A,143
2006-04-26,AB,37
2006-04-26,B,143
2006-04-26,O,256
2006-04-27,A,144
2006-04-27,AB,34
2006-04-27,B,167
2006-04-27,O,230
2006-04-28,A,111
2006-04-28,AB,33
2006-04-28,B,158
2006-04-28,O,183
2006-04-29,A,140
2006-04-29,AB,26
2006-04-29,B,128
2006-04-29,O,170
2006-04-30,A,87
2006-04-30,AB,25
2006-04-30,B,134
2006-04-30,O,170
2006-05-01,A,139
2006-05-01,AB,39
2006-05-01,B,167
2006-05-01,O,200
2006-05-02,A,111
2006-05-02,AB,29
2006-05-02,B,172
2006-05-02,O,208
2006-05-03,A,145
2006-05-03,AB,42
2006-05-03,B,157
2006-05-03,O,211
2006-05-04,A,137
2006-05-04,AB,26
2006-05-04,B,144
2006-05-04,O,186
2006-05-05,A,149
2006-05-05,AB,25
2006-05-05,B,139
2006-05-05,O,208
2006-05-06,A,138
2006-05-06,AB,18
2006-05-06,B,123
2006-05-06,O,191
2006-05-07,A,136
2006-05-07,AB,35
2006-05-07,B,149
2006-05-07,O,190
2006-05-08,A,143
2006-05-08,AB,43
2006-05-08,B,169
2006-05-08,O,239
2006-05-09,A,144
2006-05-09,AB,36
2006-05-09,B,138
2006-05-09,O,209
2006-05-10,A,127
2006-05-10,AB,35
2006-05-10,B,154
2006-05-10,O,202
2006-05-11,A,138
2006-05-11,AB,43
2006-05-11,B,147
2006-05-11,O,176
2006-05-12,A,154
2006-05-12,AB,48
2006-05-12,B,166
2006-05-12,O,210
2006-05-13,A,113
2006-05-13,AB,29
2006-05-13,B,147
2006-05-13,O,191
2006-05-14,A,140
2006-05-14,AB,46
2006-05-14,B,131
2006-05-14,O,196
2006-05-15,A,143
2006-05-15,AB,36
2006-05-15,B,158
2006-05-15,O,202
2006-05-16,A,128
2006-05-16,AB,45
2006-05-16,B,146
2006-05-16,O,235
2006-05-17,A,160
2006-05-17,AB,38
2006-05-17,B,167
2006-05-17,O,219
2006-05-18,A,175
2006-05-18,AB,48
2006-05-18,B,176
2006-05-18,O,222
2006-05-19,A,172
2006-05-19,AB,48
2006-05-19,B,167
2006-05-19,O,198
2006-05-20,A,158
2006-05-20,AB,42
2006-05-20,B,138
2006-05-20,O,203
2006-05-21,A,143
2006-05-21,AB,35
2006-05-21,B,139
2006-05-21,O,202
2006-05-22,A,173
2006-05-22,AB,36
2006-05-22,B,151
2006-05-22,O,199
2006-05-23,A,156
2006-05-23,AB,25
2006-05-23,B,146
2006-05-23,O,224
2006-05-24,A,167
2006-05-24,AB,39
2006-05-24,B,206
2006-05-24,O,214
2006-05-25,A,180
2006-05-25,AB,40
2006-05-25,B,183
2006-05-25,O,200
2006-05-26,A,153
2006-05-26,AB,50
2006-05-26,B,172
2006-05-26,O,250
2006-05-27,A,159
2006-05-27,AB,32
2006-05-27,B,158
2006-05-27,O,185
2006-05-28,A,155
2006-05-28,AB,42
2006-05-28,B,145
2006-05-28,O,199
2006-05-29,A,159
2006-05-29,AB,43
2006-05-29,B,153
2006-05-29,O,242
2006-05-30,A,169
2006-05-30,AB,44
2006-05-30,B,162
2006-05-30,O,190
2006-05-31,A,151
2006-05-31,AB,36
2006-05-31,B,157
2006-05-31,O,217
2006-06-01,A,172
2006-06-01,AB,33
2006-06-01,B,146
2006-06-01,O,162
2006-06-02,A,439
2006-06-02,AB,34
2006-06-02,B,131
2006-06-02,O,184
2006-06-03,A,136
2006-06-03,AB,31
2006-06-03,B,147
2006-06-03,O,175
2006-06-04,A,126
2006-06-04,AB,33
2006-06-04,B,147
2006-06-04,O,163
2006-06-05,A,142
2006-06-05,AB,38
2006-06-05,B,155
2006-06-05,O,196
2006-06-06,A,155
2006-06-06,AB,38
2006-06-06,B,168
2006-06-06,O,189
2006-06-07,A,164
2006-06-07,AB,56
2006-06-07,B,147
2006-06-07,O,187
2006-06-08,A,149
2006-06-08,AB,35
2006-06-08,B,156
2006-06-08,O,163
2006-06-09,A,161
2006-06-09,AB,30
2006-06-09,B,158
2006-06-09,O,185
2006-06-10,A,138
2006-06-10,AB,26
2006-06-10,B,123
2006-06-10,O,134
2006-06-11,A,108
2006-06-11,AB,23
2006-06-11,B,148
2006-06-11,O,143
2006-06-12,A,166
2006-06-12,AB,25
2006-06-12,B,126
2006-06-12,O,193
2006-06-13,A,134
2006-06-13,AB,33
2006-06-13,B,115
2006-06-13,O,185
2006-06-14,A,116
2006-06-14,AB,32
2006-06-14,B,117
2006-06-14,O,137
2006-06-15,A,155
2006-06-15,AB,33
2006-06-15,B,121
2006-06-15,O,159
2006-06-16,A,119
2006-06-16,AB,22
2006-06-16,B,123
2006-06-16,O,154
2006-06-17,A,122
2006-06-17,AB,33
2006-06-17,B,133
2006-06-17,O,139
2006-06-18,A,115
2006-06-18,AB,30
2006-06-18,B,134
2006-06-18,O,156
2006-06-19,A,110
2006-06-19,AB,29
2006-06-19,B,117
2006-06-19,O,176
2006-06-20,A,136
2006-06-20,AB,18
2006-06-20,B,133
2006-06-20,O,153
2006-06-21,A,108
2006-06-21,AB,39
2006-06-21,B,124
2006-06-21,O,154
2006-06-22,A,129
2006-06-22,AB,29
2006-06-22,B,147
2006-06-22,O,147
2006-06-23,A,154
2006-06-23,AB,32
2006-06-23,B,145
2006-06-23,O,170
2006-06-24,A,84
2006-06-24,AB,18
2006-06-24,B,107
2006-06-24,O,142
2006-06-25,A,109
2006-06-25,AB,23
2006-06-25,B,147
2006-06-25,O,148
2006-06-26,A,137
2006-06-26,AB,25
2006-06-26,B,145
2006-06-26,O,148
2006-06-27,A,248
2006-06-27,AB,25
2006-06-27,B,152
2006-06-27,O,158
2006-06-28,A,108
2006-06-28,AB,26
2006-06-28,B,134
2006-06-28,O,172
2006-06-29,A,126
2006-06-29,AB,29
2006-06-29,B,141
2006-06-29,O,157
2006-06-30,A,128
2006-06-30,AB,44
2006-06-30,B,140
2006-06-30,O,146
2006-07-01,A,112
2006-07-01,AB,29
2006-07-01,B,96
2006-07-01,O,134
2006-07-02,A,115
2006-07-02,AB,22
2006-07-02,B,131
2006-07-02,O,148
2006-07-03,A,102
2006-07-03,AB,25
2006-07-03,B,118
2006-07-03,O,152
2006-07-04,A,120
2006-07-04,AB,23
2006-07-04,B,143
2006-07-04,O,160
2006-07-05,A,134
2006-07-05,AB,33
2006-07-05,B,123
2006-07-05,O,153
2006-07-06,A,147
2006-07-06,AB,34
2006-07-06,B,136
2006-07-06,O,185
2006-07-07,A,138
2006-07-07,AB,27
2006-07-07,B,147
2006-07-07,O,157
2006-07-08,A,129
2006-07-08,AB,26
2006-07-08,B,136
2006-07-08,O,132
2006-07-09,A,137
2006-07-09,AB,30
2006-07-09,B,123
2006-07-09,O,138
2006-07-10,A,131
2006-07-10,AB,37
2006-07-10,B,137
2006-07-10,O,176
2006-07-11,A,126
2006-07-11,AB,24
2006-07-11,B,155
2006-07-11,O,176
2006-07-12,A,143
2006-07-12,AB,39
2006-07-12,B,167
2006-07-12,O,188
2006-07-13,A,143
2006-07-13,AB,32
2006-07-13,B,158
2006-07-13,O,181
2006-07-14,A,154
2006-07-14,AB,41
2006-07-14,B,170
2006-07-14,O,191
2006-07-15,A,126
2006-07-15,AB,30
2006-07-15,B,157
2006-07-15,O,165
2006-07-16,A,137
2006-07-16,AB,37
2006-07-16,B,140
2006-07-16,O,158
2006-07-17,A,135
2006-07-17,AB,41
2006-07-17,B,156
2006-07-17,O,211
2006-07-18,A,139
2006-07-18,AB,42
2006-07-18,B,173
2006-07-18,O,192
2006-07-19,A,248
2006-07-19,AB,41
2006-07-19,B,157
2006-07-19,O,175
2006-07-20,A,139
2006-07-20,AB,37
2006-07-20,B,145
2006-07-20,O,199
2006-07-21,A,162
2006-07-21,AB,28
2006-07-21,B,175
2006-07-21,O,186
2006-07-22,A,137
2006-07-22,AB,39
2006-07-22,B,148
2006-07-22,O,172
2006-07-23,A,166
2006-07-23,AB,51
2006-07-23,B,152
2006-07-23,O,172
2006-07-24,A,139
2006-07-24,AB,34
2006-07-24,B,176
2006-07-24,O,204
2006-07-25,A,181
2006-07-25,AB,33
2006-07-25,B,174
2006-07-25,O,201
2006-07-26,A,158
2006-07-26,AB,44
2006-07-26,B,178
2006-07-26,O,213
2006-07-27,A,158
2006-07-27,AB,53
2006-07-27,B,231
2006-07-27,O,199
2006-07-28,A,180
2006-07-28,AB,45
2006-07-28,B,212
2006-07-28,O,238
2006-07-29,A,154
2006-07-29,AB,32
2006-07-29,B,200
2006-07-29,O,195
2006-07-30,A,137
2006-07-30,AB,46
2006-07-30,B,180
2006-07-30,O,220
2006-07-31,A,175
2006-07-31,AB,54
2006-07-31,B,199
2006-07-31,O,258
2006-08-01,A,155
2006-08-01,AB,48
2006-08-01,B,207
2006-08-01,O,234
2006-08-02,A,188
2006-08-02,AB,41
2006-08-02,B,215
2006-08-02,O,261
2006-08-03,A,198
2006-08-03,AB,48
2006-08-03,B,204
2006-08-03,O,242
2006-08-04,A,170
2006-08-04,AB,54
2006-08-04,B,207
2006-08-04,O,230
2006-08-05,A,152
2006-08-05,AB,42
2006-08-05,B,169
2006-08-05,O,227
2006-08-06,A,146
2006-08-06,AB,55
2006-08-06,B,230
2006-08-06,O,240
2006-08-07,A,431
2006-08-07,AB,34
2006-08-07,B,195
2006-08-07,O,264
2006-08-08,A,137
2006-08-08,AB,46
2006-08-08,B,208
2006-08-08,O,260
2006-08-09,A,193
2006-08-09,AB,55
2006-08-09,B,207
2006-08-09,O,249
2006-08-10,A,190
2006-08-10,AB,95
2006-08-10,B,202
2006-08-10,O,254
2006-08-11,A,149
2006-08-11,AB,49
2006-08-11,B,196
2006-08-11,O,247
2006-08-12,A,135
2006-08-12,AB,49
2006-08-12,B,192
2006-08-12,O,213
2006-08-13,A,145
2006-08-13,AB,47
2006-08-13,B,160
2006-08-13,O,204
2006-08-14,A,159
2006-08-14,AB,41
2006-08-14,B,192
2006-08-14,O,241
2006-08-15,A,181
2006-08-15,AB,47
2006-08-15,B,213
2006-08-15,O,248
2006-08-16,A,173
2006-08-16,AB,54
2006-08-16,B,200
2006-08-16,O,269
2006-08-17,A,175
2006-08-17,AB,61
2006-08-17,B,214
2006-08-17,O,252
2006-08-18,A,163
2006-08-18,AB,49
2006-08-18,B,210
2006-08-18,O,257
2006-08-19,A,170
2006-08-19,AB,33
2006-08-19,B,188
2006-08-19,O,246
2006-08-20,A,164
2006-08-20,AB,37
2006-08-20,B,183
2006-08-20,O,239
2006-08-21,A,160
2006-08-21,AB,44
2006-08-21,B,180
2006-08-21,O,251
2006-08-22,A,150
2006-08-22,AB,43
2006-08-22,B,200
2006-08-22,O,247
2006-08-23,A,205
2006-08-23,AB,58
2006-08-23,B,218
2006-08-23,O,271
2006-08-24,A,174
2006-08-24,AB,49
2006-08-24,B,200
2006-08-24,O,272
2006-08-25,A,233
2006-08-25,AB,50
2006-08-25,B,222
2006-08-25,O,246
2006-08-26,A,148
2006-08-26,AB,48
2006-08-26,B,179
2006-08-26,O,238
2006-08-27,A,156
2006-08-27,AB,41
2006-08-27,B,179
2006-08-27,O,214
2006-08-28,A,162
2006-08-28,AB,43
2006-08-28,B,212
2006-08-28,O,246
2006-08-29,A,200
2006-08-29,AB,60
2006-08-29,B,212
2006-08-29,O,251
2006-08-30,A,180
2006-08-30,AB,49
2006-08-30,B,219
2006-08-30,O,246
2006-08-31,A,186
2006-08-31,AB,49
2006-08-31,B,184
2006-08-31,O,266
2006-09-01,A,185
2006-09-01,AB,55
2006-09-01,B,193
2006-09-01,O,254
2006-09-02,A,175
2006-09-02,AB,41
2006-09-02,B,165
2006-09-02,O,282
2006-09-03,A,183
2006-09-03,AB,60
2006-09-03,B,211
2006-09-03,O,267
2006-09-04,A,195
2006-09-04,AB,66
2006-09-04,B,225
2006-09-04,O,286
2006-09-05,A,240
2006-09-05,AB,44
2006-09-05,B,248
2006-09-05,O,310
2006-09-06,A,223
2006-09-06,AB,63
2006-09-06,B,239
2006-09-06,O,308
2006-09-07,A,210
2006-09-07,AB,49
2006-09-07,B,240
2006-09-07,O,300
2006-09-08,A,210
2006-09-08,AB,50
2006-09-08,B,219
2006-09-08,O,308
2006-09-09,A,187
2006-09-09,AB,43
2006-09-09,B,215
2006-09-09,O,282
2006-09-10,A,199
2006-09-10,AB,64
2006-09-10,B,217
2006-09-10,O,321
2006-09-11,A,215
2006-09-11,AB,61
2006-09-11,B,252
2006-09-11,O,306
2006-09-12,A,232
2006-09-12,AB,62
2006-09-12,B,262
2006-09-12,O,315
2006-09-13,A,230
2006-09-13,AB,58
2006-09-13,B,237
2006-09-13,O,341
2006-09-14,A,229
2006-09-14,AB,62
2006-09-14,B,223
2006-09-14,O,343
2006-09-15,A,232
2006-09-15,AB,68
2006-09-15,B,263
2006-09-15,O,320
2006-09-16,A,239
2006-09-16,AB,56
2006-09-16,B,227
2006-09-16,O,284
2006-09-17,A,208
2006-09-17,AB,46
2006-09-17,B,227
2006-09-17,O,290
2006-09-18,A,230
2006-09-18,AB,67
2006-09-18,B,230
2006-09-18,O,311
2006-09-19,A,243
2006-09-19,AB,58
2006-09-19,B,246
2006-09-19,O,312
2006-09-20,A,279
2006-09-20,AB,71
2006-09-20,B,227
2006-09-20,O,312
2006-09-21,A,285
2006-09-21,AB,72
2006-09-21,B,249
2006-09-21,O,326
2006-09-22,A,248
2006-09-22,AB,52
2006-09-22,B,261
2006-09-22,O,352
2006-09-23,A,217
2006-09-23,AB,61
2006-09-23,B,220
2006-09-23,O,292
2006-09-24,A,222
2006-09-24,AB,52
2006-09-24,B,240
2006-09-24,O,323
2006-09-25,A,204
2006-09-25,AB,57
2006-09-25,B,247
2006-09-25,O,308
2006-09-26,A,214
2006-09-26,AB,70
2006-09-26,B,243
2006-09-26,O,357
2006-09-27,A,204
2006-09-27,AB,74
2006-09-27,B,240
2006-09-27,O,307
2006-09-28,A,205
2006-09-28,AB,50
2006-09-28,B,225
2006-09-28,O,318
2006-09-29,A,216
2006-09-29,AB,115
2006-09-29,B,220
2006-09-29,O,308
2006-09-30,A,212
2006-09-30,AB,58
2006-09-30,B,205
2006-09-30,O,281
2006-10-01,A,193
2006-10-01,AB,51
2006-10-01,B,208
2006-10-01,O,281
2006-10-02,A,230
2006-10-02,AB,57
2006-10-02,B,203
2006-10-02,O,329
2006-10-03,A,180
2006-10-03,AB,47
2006-10-03,B,201
2006-10-03,O,298
2006-10-04,A,201
2006-10-04,AB,38
2006-10-04,B,217
2006-10-04,O,292
2006-10-05,A,198
2006-10-05,AB,54
2006-10-05,B,205
2006-10-05,O,268
2006-10-06,A,198
2006-10-06,AB,51
2006-10-06,B,188
2006-10-06,O,261
2006-10-07,A,174
2006-10-07,AB,50
2006-10-07,B,165
2006-10-07,O,211
2006-10-08,A,181
2006-10-08,AB,38
2006-10-08,B,193
2006-10-08,O,247
2006-10-09,A,163
2006-10-09,AB,56
2006-10-09,B,192
2006-10-09,O,228
2006-10-10,A,150
2006-10-10,AB,36
2006-10-10,B,161
2006-10-10,O,270
2006-10-11,A,153
2006-10-11,AB,44
2006-10-11,B,163
2006-10-11,O,260
2006-10-12,A,161
2006-10-12,AB,42
2006-10-12,B,179
2006-10-12,O,260
2006-10-13,A,155
2006-10-13,AB,34
2006-10-13,B,148
2006-10-13,O,199
2006-10-14,A,112
2006-10-14,AB,29
2006-10-14,B,151
2006-10-14,O,180
2006-10-15,A,132
2006-10-15,AB,37
2006-10-15,B,150
2006-10-15,O,195
2006-10-16,A,146
2006-10-16,AB,43
2006-10-16,B,163
2006-10-16,O,240
2006-10-17,A,148
2006-10-17,AB,44
2006-10-17,B,134
2006-10-17,O,216
2006-10-18,A,122
2006-10-18,AB,31
2006-10-18,B,124
2006-10-18,O,209
2006-10-19,A,151
2006-10-19,AB,39
2006-10-19,B,131
2006-10-19,O,206
2006-10-20,A,144
2006-10-20,AB,30
2006-10-20,B,120
2006-10-20,O,204
2006-10-21,A,92
2006-10-21,AB,19
2006-10-21,B,86
2006-10-21,O,159
2006-10-22,A,121
2006-10-22,AB,26
2006-10-22,B,101
2006-10-22,O,169
2006-10-23,A,95
2006-10-23,AB,22
2006-10-23,B,103
2006-10-23,O,166
2006-10-24,A,113
2006-10-24,AB,30
2006-10-24,B,93
2006-10-24,O,170
2006-10-25,A,91
2006-10-25,AB,28
2006-10-25,B,89
2006-10-25,O,169
2006-10-26,A,96
2006-10-26,AB,27
2006-10-26,B,99
2006-10-26,O,173
2006-10-27,A,95
2006-10-27,AB,25
2006-10-27,B,103
2006-10-27,O,154
2006-10-28,A,109
2006-10-28,AB,26
2006-10-28,B,108
2006-10-28,O,154
2006-10-29,A,105
2006-10-29,AB,24
2006-10-29,B,86
2006-10-29,O,169
2006-10-30,A,93
2006-10-30,AB,29
2006-10-30,B,99
2006-10-30,O,186
2006-10-31,A,95
2006-10-31,AB,24
2006-10-31,B,110
2006-10-31,O,194
2006-11-01,A,103
2006-11-01,AB,22
2006-11-01,B,103
2006-11-01,O,172
2006-11-02,A,102
2006-11-02,AB,26
2006-11-02,B,89
2006-11-02,O,181
2006-11-03,A,107
2006-11-03,AB,32
2006-11-03,B,104
2006-11-03,O,203
2006-11-04,A,110
2006-11-04,AB,33
2006-11-04,B,102
2006-11-04,O,168
2006-11-05,A,99
2006-11-05,AB,29
2006-11-05,B,90
2006-11-05,O,156
2006-11-06,A,116
2006-11-06,AB,27
2006-11-06,B,104
2006-11-06,O,189
2006-11-07,A,129
2006-11-07,AB,24
