issue_id,request_id,unit_id,issue_date,exact_match
BI0000038,BR0009640,BU0024465,2006-07-12,Yes
BI0000039,BR0020509,BU0010099,2006-07-13,Yes
BI0000040,BR0009641,BU0039419,2006-07-13,Yes
BI0000041,BR0000090,BU0034277,2006-07-16,Yes
BI0000042,BR0000095,BU0006472,2006-07-21,No
BI0000043,BR0009648,BU0006473,2006-07-21,No
BI0000044,BR0000101,BU0014833,2006-07-27,No
BI0000045,BR0000102,BU0009378,2006-07-28,Yes
BI0000046,BR0000103,BU0036645,2006-07-29,No
BI0000047,BR0009656,BU0003619,2006-07-29,Yes
BI0000048,BR0000104,BU0036893,2006-07-30,No
BI0000049,BR0009657,BU0007400,2006-07-30,Yes
BI0000050,BR0000105,BU0026398,2006-07-31,No
BI0000051,BR0000110,BU0036686,2006-08-05,Yes
BI0000052,BR0009665,BU0010923,2006-08-07,No
BI0000053,BR0000112,BU0022597,2006-08-07,No
BI0000054,BR0000115,BU0027819,2006-08-09,Yes
BI0000055,BR0017254,BU0008411,2006-08-10,Yes
BI0000056,BR0000117,BU0013536,2006-08-11,Yes
BI0000057,BR0000118,BU0011952,2006-08-12,Yes
BI0000058,BR0009671,BU0000541,2006-08-13,Yes
BI0000059,BR0000120,BU0012489,2006-08-14,Yes
BI0000060,BR0000121,BU0038554,2006-08-15,Yes
BI0000061,BR0009673,BU0033486,2006-08-15,Yes
BI0000062,BR0020543,BU0019120,2006-08-16,Yes
BI0000063,BR0009674,BU0000597,2006-08-16,Yes
BI0000064,BR0009675,BU0025043,2006-08-17,Yes
BI0000065,BR0000125,BU0007231,2006-08-19,Yes
BI0000066,BR0000126,BU0008737,2006-08-20,Yes
BI0000067,BR0020548,BU0032673,2006-08-21,Yes
BI0000068,BR0000127,BU0023146,2006-08-21,Yes
BI0000069,BR0009679,BU0042017,2006-08-21,Yes
BI0000070,BR0000128,BU0033013,2006-08-22,Yes
BI0000071,BR0000129,BU0009129,2006-08-23,Yes
BI0000072,BR0000130,BU0009301,2006-08-24,Yes
BI0000073,BR0009682,BU0033936,2006-08-24,Yes
BI0000074,BR0020551,BU0031820,2006-08-24,Yes
BI0000075,BR0000131,BU0012267,2006-08-25,Yes
BI0000076,BR0009683,BU0030727,2006-08-25,No
BI0000077,BR0020552,BU0028112,2006-08-25,No
BI0000078,BR0009685,BU0021615,2006-08-27,Yes
BI0000079,BR0000133,BU0041675,2006-08-27,No
BI0000080,BR0009686,BU0037676,2006-08-28,Yes
BI0000081,BR0020556,BU0000906,2006-08-29,Yes
BI0000082,BR0009687,BU0039262,2006-08-29,No
BI0000083,BR0000136,BU0001643,2006-08-30,No
BI0000084,BR0000137,BU0020735,2006-08-31,Yes
BI0000085,BR0009689,BU0012338,2006-08-31,Yes
BI0000086,BR0000138,BU0034253,2006-09-01,Yes
BI0000087,BR0000139,BU0034254,2006-09-02,Yes
BI0000088,BR0009691,BU0000502,2006-09-02,No
BI0000089,BR0000140,BU0027527,2006-09-03,Yes
BI0000090,BR0020561,BU0027685,2006-09-03,No
BI0000091,BR0020562,BU0041956,2006-09-04,Yes
BI0000092,BR0000141,BU0032541,2006-09-04,Yes
BI0000093,BR0009693,BU0018297,2006-09-04,Yes
BI0000094,BR0000142,BU0033972,2006-09-05,Yes
BI0000095,BR0009694,BU0027800,2006-09-05,Yes
BI0000096,BR0009695,BU0041836,2006-09-06,Yes
BI0000097,BR0000145,BU0024383,2006-09-08,Yes
BI0000098,BR0009697,BU0039118,2006-09-08,Yes
BI0000099,BR0020568,BU0031636,2006-09-10,Yes
BI0000100,BR0009699,BU0023367,2006-09-10,Yes
BI0000101,BR0000148,BU0026187,2006-09-11,No
BI0000102,BR0009700,BU0000123,2006-09-11,No
BI0000103,BR0000149,BU0016536,2006-09-12,Yes
BI0000104,BR0009702,BU0005652,2006-09-13,Yes
BI0000105,BR0000150,BU0024817,2006-09-13,No
BI0000106,BR0000151,BU0021523,2006-09-14,No
BI0000107,BR0009704,BU0026580,2006-09-15,Yes
BI0000108,BR0000153,BU0034693,2006-09-16,Yes
BI0000109,BR0000155,BU0017940,2006-09-18,No
BI0000110,BR0000157,BU0018834,2006-09-20,Yes
BI0000111,BR0000158,BU0018835,2006-09-21,Yes
BI0000112,BR0009710,BU0018804,2006-09-21,Yes
BI0000113,BR0009711,BU0023857,2006-09-22,No
BI0000114,BR0000159,BU0029094,2006-09-22,No
BI0000115,BR0020580,BU0029095,2006-09-22,No
BI0000116,BR0000160,BU0031827,2006-09-23,Yes
BI0000117,BR0009712,BU0005255,2006-09-23,No
BI0000118,BR0000161,BU0035386,2006-09-24,Yes
BI0000119,BR0000162,BU0029889,2006-09-25,Yes
BI0000120,BR0000163,BU0018851,2006-09-26,Yes
BI0000121,BR0000165,BU0036516,2006-09-28,Yes
BI0000122,BR0017255,BU0010356,2006-09-29,Yes
BI0000123,BR0000167,BU0006126,2006-09-30,Yes
BI0000124,BR0009719,BU0018777,2006-09-30,Yes
BI0000125,BR0020589,BU0007751,2006-09-30,Yes
BI0000126,BR0000168,BU0020852,2006-10-01,No
BI0000127,BR0009720,BU0022588,2006-10-01,Yes
BI0000128,BR0000169,BU0034727,2006-10-02,Yes
BI0000129,BR0020591,BU0028826,2006-10-02,Yes
BI0000130,BR0009722,BU0001014,2006-10-03,Yes
BI0000131,BR0020592,BU0033101,2006-10-03,Yes
BI0000132,BR0000170,BU0013250,2006-10-03,Yes
BI0000133,BR0020594,BU0013777,2006-10-05,Yes
BI0000134,BR0009724,BU0039696,2006-10-05,Yes
BI0000135,BR0000173,BU0037315,2006-10-06,Yes
BI0000136,BR0000174,BU0006392,2006-10-07,No
BI0000137,BR0000175,BU0008164,2006-10-08,Yes
BI0000138,BR0000176,BU0012230,2006-10-09,No
BI0000139,BR0009728,BU0013032,2006-10-09,No
BI0000140,BR0020598,BU0013033,2006-10-09,No
BI0000141,BR0009729,BU0010108,2006-10-10,No
BI0000142,BR0020599,BU0010109,2006-10-10,Yes
BI0000143,BR0000177,BU0019381,2006-10-10,No
BI0000144,BR0000179,BU0016466,2006-10-12,No
BI0000145,BR0000181,BU0022672,2006-10-14,No
BI0000146,BR0000182,BU0020860,2006-10-15,No
BI0000147,BR0009735,BU0032045,2006-10-16,Yes
BI0000148,BR0000184,BU0006749,2006-10-17,No
BI0000149,BR0000185,BU0023723,2006-10-18,Yes
BI0000150,BR0000186,BU0007726,2006-10-19,Yes
BI0000151,BR0000187,BU0019264,2006-10-20,Yes
BI0000152,BR0020609,BU0036802,2006-10-20,Yes
BI0000153,BR0020610,BU0032608,2006-10-21,Yes
BI0000154,BR0000188,BU0032169,2006-10-22,Yes
BI0000155,BR0020612,BU0028235,2006-10-23,Yes
BI0000156,BR0000189,BU0013070,2006-10-24,Yes
BI0000157,BR0020613,BU0041116,2006-10-24,Yes
BI0000158,BR0020614,BU0014122,2006-10-25,Yes
BI0000159,BR0020615,BU0014123,2006-10-26,Yes
BI0000160,BR0020616,BU0013471,2006-10-27,Yes
BI0000161,BR0000190,BU0038569,2006-10-28,Yes
BI0000162,BR0020617,BU0004770,2006-10-28,Yes
BI0000163,BR0000191,BU0016263,2006-10-29,Yes
BI0000164,BR0020619,BU0011080,2006-10-30,Yes
BI0000165,BR0020620,BU0008484,2006-10-31,Yes
BI0000166,BR0000192,BU0028104,2006-11-01,Yes
BI0000167,BR0020621,BU0036646,2006-11-01,Yes
BI0000168,BR0000193,BU0031108,2006-11-02,Yes
BI0000169,BR0020622,BU0037000,2006-11-02,Yes
BI0000170,BR0000194,BU0026399,2006-11-03,No
BI0000171,BR0020623,BU0034248,2006-11-03,Yes
BI0000172,BR0020628,BU0024031,2006-11-08,Yes
BI0000173,BR0000199,BU0021410,2006-11-09,Yes
BI0000174,BR0000200,BU0021556,2006-11-10,No
BI0000175,BR0020630,BU0038060,2006-11-10,Yes
BI0000176,BR0020631,BU0006474,2006-11-11,Yes
BI0000177,BR0000201,BU0013010,2006-11-11,Yes
BI0000178,BR0000203,BU0040906,2006-11-13,Yes
BI0000179,BR0009736,BU0003424,2006-11-13,Yes
BI0000180,BR0009737,BU0018676,2006-11-15,Yes
BI0000181,BR0000205,BU0040907,2006-11-15,Yes
BI0000182,BR0020635,BU0039891,2006-11-15,Yes
BI0000183,BR0020636,BU0011717,2006-11-16,Yes
BI0000184,BR0000206,BU0013537,2006-11-16,Yes
BI0000185,BR0020637,BU0011718,2006-11-17,Yes
BI0000186,BR0000207,BU0013538,2006-11-17,Yes
BI0000187,BR0000208,BU0012043,2006-11-18,Yes
BI0000188,BR0020638,BU0037618,2006-11-18,Yes
BI0000189,BR0000209,BU0001202,2006-11-19,Yes
BI0000190,BR0020639,BU0008317,2006-11-19,Yes
BI0000191,BR0000211,BU0020432,2006-11-21,Yes
BI0000192,BR0020641,BU0001236,2006-11-21,Yes
BI0000193,BR0009738,BU0018791,2006-11-22,Yes
BI0000194,BR0009739,BU0027770,2006-11-23,Yes
BI0000195,BR0009740,BU0012023,2006-11-25,Yes
BI0000196,BR0009741,BU0035205,2006-11-26,Yes
BI0000197,BR0000217,BU0009392,2006-11-27,Yes
BI0000198,BR0009742,BU0038867,2006-11-27,Yes
BI0000199,BR0009743,BU0025180,2006-11-28,Yes
BI0000200,BR0000219,BU0039180,2006-11-29,No
BI0000201,BR0009744,BU0022241,2006-11-29,Yes
BI0000202,BR0009745,BU0003671,2006-11-30,Yes
BI0000203,BR0020650,BU0000907,2006-11-30,Yes
BI0000204,BR0000221,BU0006302,2006-12-01,Yes
BI0000205,BR0009746,BU0005240,2006-12-01,Yes
BI0000206,BR0020651,BU0005911,2006-12-01,Yes
BI0000207,BR0000222,BU0034436,2006-12-02,Yes
BI0000208,BR0009747,BU0025044,2006-12-02,Yes
BI0000209,BR0020653,BU0040763,2006-12-03,Yes
BI0000210,BR0000223,BU0040373,2006-12-03,Yes
BI0000211,BR0009748,BU0011458,2006-12-03,Yes
BI0000212,BR0000224,BU0018647,2006-12-04,Yes
BI0000213,BR0009749,BU0011266,2006-12-04,Yes
BI0000214,BR0009750,BU0026973,2006-12-05,Yes
BI0000215,BR0000225,BU0001644,2006-12-05,No
BI0000216,BR0020655,BU0041765,2006-12-05,Yes
BI0000217,BR0000226,BU0039499,2006-12-06,No
BI0000218,BR0009751,BU0039368,2006-12-06,Yes
BI0000219,BR0000227,BU0035898,2006-12-07,Yes
BI0000220,BR0009752,BU0026591,2006-12-07,Yes
BI0000221,BR0020657,BU0008554,2006-12-07,No
BI0000222,BR0000228,BU0004958,2006-12-08,Yes
BI0000223,BR0009753,BU0021616,2006-12-08,Yes
BI0000224,BR0000229,BU0011953,2006-12-09,Yes
BI0000225,BR0009754,BU0040283,2006-12-09,Yes
BI0000226,BR0000230,BU0008853,2006-12-10,No
BI0000227,BR0009755,BU0018298,2006-12-10,Yes
BI0000228,BR0020660,BU0011338,2006-12-10,Yes
BI0000229,BR0000231,BU0016537,2006-12-11,Yes
BI0000230,BR0009756,BU0033937,2006-12-11,Yes
BI0000231,BR0000232,BU0016335,2006-12-12,Yes
BI0000232,BR0009757,BU0037586,2006-12-12,Yes
BI0000233,BR0009758,BU0037587,2006-12-13,Yes
BI0000234,BR0020664,BU0032674,2006-12-14,Yes
BI0000235,BR0000235,BU0038776,2006-12-14,Yes
BI0000236,BR0009759,BU0038504,2006-12-14,Yes
BI0000237,BR0000236,BU0038777,2006-12-15,Yes
BI0000238,BR0009760,BU0027595,2006-12-15,Yes
BI0000239,BR0020665,BU0032675,2006-12-15,Yes
BI0000240,BR0000237,BU0027820,2006-12-16,Yes
BI0000241,BR0009761,BU0033487,2006-12-16,Yes
BI0000242,BR0020666,BU0028113,2006-12-16,No
BI0000243,BR0000238,BU0018758,2006-12-17,Yes
BI0000244,BR0009762,BU0023206,2006-12-18,Yes
BI0000245,BR0000239,BU0012268,2006-12-18,Yes
BI0000246,BR0000240,BU0036222,2006-12-19,Yes
BI0000247,BR0009763,BU0041683,2006-12-19,Yes
BI0000248,BR0000241,BU0009681,2006-12-20,No
BI0000249,BR0009764,BU0039119,2006-12-20,Yes
BI0000250,BR0000242,BU0013882,2006-12-21,Yes
BI0000251,BR0020671,BU0010100,2006-12-21,Yes
BI0000252,BR0009765,BU0030569,2006-12-21,Yes
BI0000253,BR0000243,BU0030201,2006-12-22,No
BI0000254,BR0009766,BU0025941,2006-12-22,No
BI0000255,BR0000244,BU0007611,2006-12-23,No
BI0000256,BR0009767,BU0023368,2006-12-23,Yes
BI0000257,BR0020673,BU0000134,2006-12-23,No
BI0000258,BR0009768,BU0018805,2006-12-25,Yes
BI0000259,BR0020675,BU0029663,2006-12-25,Yes
BI0000260,BR0020676,BU0002267,2006-12-26,Yes
BI0000261,BR0000247,BU0015735,2006-12-26,Yes
BI0000262,BR0009769,BU0024466,2006-12-26,Yes
BI0000263,BR0009770,BU0002110,2006-12-27,Yes
BI0000264,BR0000249,BU0015913,2006-12-28,Yes
BI0000265,BR0020678,BU0027512,2006-12-28,Yes
BI0000266,BR0000250,BU0028214,2006-12-29,Yes
BI0000267,BR0020679,BU0039832,2006-12-29,Yes
BI0000268,BR0000251,BU0028045,2006-12-30,No
BI0000269,BR0020680,BU0008128,2006-12-30,Yes
BI0000270,BR0009771,BU0042018,2006-12-31,Yes
BI0000271,BR0000252,BU0019121,2006-12-31,No
BI0000272,BR0000253,BU0033102,2007-01-01,No
BI0000273,BR0000254,BU0032542,2007-01-02,Yes
BI0000274,BR0020683,BU0036034,2007-01-02,Yes
BI0000275,BR0000255,BU0036517,2007-01-03,Yes
BI0000276,BR0020684,BU0031277,2007-01-03,Yes
BI0000277,BR0000256,BU0012728,2007-01-04,Yes
BI0000278,BR0020685,BU0008570,2007-01-04,Yes
BI0000279,BR0020686,BU0017254,2007-01-05,Yes
BI0000280,BR0000257,BU0012729,2007-01-05,Yes
BI0000281,BR0000258,BU0039311,2007-01-06,Yes
BI0000282,BR0020687,BU0029556,2007-01-06,Yes
BI0000283,BR0020688,BU0008800,2007-01-07,Yes
BI0000284,BR0000259,BU0009302,2007-01-07,Yes
BI0000285,BR0000260,BU0009379,2007-01-08,Yes
BI0000286,BR0009772,BU0042019,2007-01-08,Yes
BI0000287,BR0020689,BU0030582,2007-01-08,Yes
BI0000288,BR0020690,BU0010620,2007-01-08,Yes
BI0000289,BR0009773,BU0017019,2007-01-09,Yes
BI0000290,BR0020691,BU0014598,2007-01-09,Yes
BI0000291,BR0000261,BU0008738,2007-01-09,Yes
BI0000292,BR0000262,BU0024708,2007-01-10,Yes
BI0000293,BR0009774,BU0001826,2007-01-10,Yes
BI0000294,BR0020693,BU0001011,2007-01-11,Yes
BI0000295,BR0000263,BU0018836,2007-01-11,Yes
BI0000296,BR0009775,BU0022589,2007-01-11,Yes
BI0000297,BR0020694,BU0032926,2007-01-12,Yes
BI0000298,BR0009776,BU0032029,2007-01-12,Yes
BI0000299,BR0000265,BU0038746,2007-01-13,Yes
BI0000300,BR0009777,BU0028782,2007-01-13,No
BI0000301,BR0020695,BU0039795,2007-01-13,Yes
BI0000302,BR0020696,BU0039796,2007-01-14,Yes
BI0000303,BR0009778,BU0022598,2007-01-14,No
BI0000304,BR0000266,BU0040854,2007-01-14,No
BI0000305,BR0000267,BU0040855,2007-01-15,No
BI0000306,BR0009779,BU0038050,2007-01-15,Yes
BI0000307,BR0009780,BU0018991,2007-01-16,Yes
BI0000308,BR0000268,BU0028974,2007-01-16,Yes
BI0000309,BR0000269,BU0020393,2007-01-17,No
BI0000310,BR0009781,BU0018992,2007-01-17,Yes
BI0000311,BR0020699,BU0039263,2007-01-17,Yes
BI0000312,BR0000273,BU0003012,2007-01-21,Yes
BI0000313,BR0009785,BU0007401,2007-01-21,Yes
BI0000314,BR0020703,BU0017386,2007-01-21,Yes
BI0000315,BR0000274,BU0026645,2007-01-22,Yes
BI0000316,BR0009786,BU0000542,2007-01-22,Yes
BI0000317,BR0017256,BU0003168,2007-01-22,Yes
BI0000318,BR0000275,BU0018020,2007-01-23,No
BI0000319,BR0009787,BU0002043,2007-01-23,Yes
BI0000320,BR0020705,BU0030728,2007-01-23,Yes
BI0000321,BR0000276,BU0017394,2007-01-24,No
BI0000322,BR0009788,BU0041837,2007-01-24,Yes
BI0000323,BR0000277,BU0041608,2007-01-25,Yes
BI0000324,BR0017257,BU0036237,2007-01-26,Yes
BI0000325,BR0009790,BU0027801,2007-01-26,Yes
BI0000326,BR0000279,BU0003068,2007-01-27,No
BI0000327,BR0009791,BU0004193,2007-01-27,No
BI0000328,BR0009792,BU0013279,2007-01-28,No
BI0000329,BR0000280,BU0007232,2007-01-28,Yes
BI0000330,BR0009794,BU0024701,2007-01-30,No
BI0000331,BR0000282,BU0019265,2007-01-30,Yes
BI0000332,BR0009795,BU0012339,2007-01-31,Yes
BI0000333,BR0020713,BU0022910,2007-01-31,Yes
BI0000334,BR0000283,BU0024009,2007-01-31,Yes
BI0000335,BR0000284,BU0039251,2007-02-01,No
BI0000336,BR0009796,BU0039252,2007-02-01,No
BI0000337,BR0009797,BU0006789,2007-02-02,No
BI0000338,BR0000285,BU0011994,2007-02-02,Yes
BI0000339,BR0000286,BU0011560,2007-02-03,Yes
BI0000340,BR0000287,BU0015785,2007-02-04,No
BI0000341,BR0020718,BU0038035,2007-02-05,Yes
BI0000342,BR0000289,BU0005787,2007-02-06,Yes
BI0000343,BR0009801,BU0003620,2007-02-06,Yes
BI0000344,BR0020719,BU0035115,2007-02-06,Yes
BI0000345,BR0000290,BU0018852,2007-02-07,Yes
BI0000346,BR0009802,BU0020728,2007-02-07,No
BI0000347,BR0009803,BU0011515,2007-02-08,Yes
BI0000348,BR0020722,BU0019076,2007-02-08,Yes
BI0000349,BR0000291,BU0027528,2007-02-08,Yes
BI0000350,BR0000292,BU0032379,2007-02-09,Yes
BI0000351,BR0009804,BU0006750,2007-02-09,No
BI0000352,BR0020723,BU0013472,2007-02-09,Yes
BI0000353,BR0020723,BU0029996,2007-02-09,Yes
BI0000354,BR0000293,BU0007727,2007-02-10,Yes
BI0000355,BR0009805,BU0025860,2007-02-10,Yes
BI0000356,BR0000295,BU0036687,2007-02-12,Yes
BI0000357,BR0009807,BU0018062,2007-02-12,Yes
BI0000358,BR0020726,BU0003760,2007-02-12,Yes
BI0000359,BR0020726,BU0040550,2007-02-12,No
BI0000360,BR0009808,BU0027812,2007-02-13,Yes
BI0000361,BR0020728,BU0026188,2007-02-13,No
BI0000362,BR0000296,BU0028105,2007-02-13,Yes
BI0000363,BR0000297,BU0034255,2007-02-14,Yes
BI0000364,BR0009809,BU0037677,2007-02-14,Yes
BI0000365,BR0000298,BU0034728,2007-02-15,Yes
BI0000366,BR0009810,BU0027771,2007-02-15,Yes
BI0000367,BR0000299,BU0041531,2007-02-16,No
BI0000368,BR0009811,BU0039420,2007-02-16,Yes
BI0000369,BR0017258,BU0000624,2007-02-16,Yes
BI0000370,BR0009812,BU0000598,2007-02-17,Yes
BI0000371,BR0000301,BU0014762,2007-02-18,No
BI0000372,BR0009813,BU0023858,2007-02-18,No
BI0000373,BR0000302,BU0013539,2007-02-19,Yes
BI0000374,BR0009814,BU0035561,2007-02-19,No
BI0000375,BR0020738,BU0011719,2007-02-20,Yes
BI0000376,BR0000303,BU0035387,2007-02-20,Yes
BI0000377,BR0000305,BU0035388,2007-02-22,Yes
BI0000378,BR0000306,BU0029306,2007-02-23,Yes
BI0000379,BR0009818,BU0031821,2007-02-23,No
BI0000380,BR0020745,BU0011081,2007-02-24,Yes
BI0000381,BR0009819,BU0011082,2007-02-24,No
BI0000382,BR0000307,BU0036791,2007-02-24,Yes
BI0000383,BR0000308,BU0008601,2007-02-25,Yes
BI0000384,BR0009820,BU0028517,2007-02-25,No
BI0000385,BR0020746,BU0028688,2007-02-25,Yes
BI0000386,BR0009821,BU0005278,2007-02-26,No
BI0000387,BR0000309,BU0013456,2007-02-26,Yes
BI0000388,BR0020747,BU0024857,2007-02-26,Yes
BI0000389,BR0000310,BU0001203,2007-02-27,Yes
BI0000390,BR0020748,BU0033524,2007-02-27,Yes
BI0000391,BR0009822,BU0035206,2007-02-27,Yes
BI0000392,BR0009823,BU0039369,2007-02-28,Yes
BI0000393,BR0000311,BU0033525,2007-02-28,No
BI0000394,BR0020749,BU0008485,2007-02-28,Yes
BI0000395,BR0020749,BU0032083,2007-02-28,Yes
BI0000396,BR0000312,BU0002938,2007-03-01,Yes
BI0000397,BR0009824,BU0039370,2007-03-01,Yes
BI0000398,BR0020750,BU0011800,2007-03-01,Yes
BI0000399,BR0009825,BU0005091,2007-03-02,No
BI0000400,BR0000313,BU0014834,2007-03-02,No
BI0000401,BR0020751,BU0014835,2007-03-02,Yes
BI0000402,BR0020751,BU0028236,2007-03-02,Yes
BI0000403,BR0000314,BU0000778,2007-03-03,No
BI0000404,BR0000315,BU0040252,2007-03-04,Yes
BI0000405,BR0009827,BU0025045,2007-03-04,Yes
BI0000406,BR0020753,BU0006989,2007-03-04,Yes
BI0000407,BR0000316,BU0033479,2007-03-05,Yes
BI0000408,BR0009828,BU0032046,2007-03-05,Yes
BI0000409,BR0000317,BU0034278,2007-03-06,Yes
BI0000410,BR0020755,BU0007308,2007-03-06,Yes
BI0000411,BR0000318,BU0007326,2007-03-07,No
BI0000412,BR0009830,BU0039697,2007-03-07,Yes
BI0000413,BR0020756,BU0031770,2007-03-07,Yes
BI0000414,BR0000319,BU0023147,2007-03-08,Yes
BI0000415,BR0009831,BU0039698,2007-03-08,Yes
BI0000416,BR0020757,BU0005256,2007-03-08,Yes
BI0000417,BR0000320,BU0040908,2007-03-09,Yes
BI0000418,BR0009832,BU0002404,2007-03-09,No
BI0000419,BR0020758,BU0036803,2007-03-09,Yes
BI0000420,BR0000321,BU0001119,2007-03-10,Yes
BI0000421,BR0009833,BU0000503,2007-03-10,No
BI0000422,BR0020759,BU0004405,2007-03-10,Yes
BI0000423,BR0009834,BU0024032,2007-03-11,No
BI0000424,BR0000322,BU0006127,2007-03-11,Yes
BI0000425,BR0020760,BU0027686,2007-03-11,No
BI0000426,BR0000323,BU0008165,2007-03-12,Yes
BI0000427,BR0000324,BU0020736,2007-03-13,Yes
BI0000428,BR0009836,BU0019977,2007-03-13,Yes
BI0000429,BR0000325,BU0013011,2007-03-14,Yes
BI0000430,BR0000327,BU0001237,2007-03-16,No
BI0000431,BR0009839,BU0005455,2007-03-16,Yes
BI0000432,BR0000328,BU0008318,2007-03-17,No
BI0000433,BR0009840,BU0008319,2007-03-17,No
BI0000434,BR0020766,BU0039892,2007-03-17,Yes
BI0000435,BR0020767,BU0000124,2007-03-18,Yes
BI0000436,BR0000329,BU0038555,2007-03-18,Yes
BI0000437,BR0009841,BU0000908,2007-03-18,No
BI0000438,BR0000330,BU0024384,2007-03-19,Yes
BI0000439,BR0009842,BU0040284,2007-03-19,Yes
BI0000440,BR0020768,BU0006393,2007-03-19,Yes
BI0000441,BR0000331,BU0013251,2007-03-20,Yes
BI0000442,BR0009843,BU0036450,2007-03-20,No
BI0000443,BR0000332,BU0040374,2007-03-21,Yes
BI0000444,BR0000333,BU0009130,2007-03-22,Yes
BI0000445,BR0009845,BU0005241,2007-03-22,Yes
BI0000446,BR0009846,BU0026581,2007-03-23,Yes
BI0000447,BR0020773,BU0024818,2007-03-24,Yes
BI0000448,BR0000335,BU0002353,2007-03-24,Yes
BI0000449,BR0009847,BU0004701,2007-03-24,Yes
BI0000450,BR0009849,BU0025942,2007-03-26,No
BI0000451,BR0000337,BU0004060,2007-03-26,No
BI0000452,BR0020775,BU0021524,2007-03-26,Yes
BI0000453,BR0009850,BU0020853,2007-03-27,No
BI0000454,BR0000339,BU0006483,2007-03-28,Yes
BI0000455,BR0009851,BU0007752,2007-03-28,No
BI0000456,BR0020777,BU0034249,2007-03-28,Yes
BI0000457,BR0000340,BU0008279,2007-03-29,Yes
BI0000458,BR0009852,BU0028046,2007-03-29,No
BI0000459,BR0020779,BU0030307,2007-03-30,Yes
BI0000460,BR0000341,BU0009655,2007-03-30,Yes
BI0000461,BR0000342,BU0041795,2007-03-31,No
BI0000462,BR0009854,BU0041957,2007-03-31,No
BI0000463,BR0009856,BU0017093,2007-04-02,No
BI0000464,BR0000344,BU0031828,2007-04-02,Yes
BI0000465,BR0020782,BU0017094,2007-04-02,Yes
BI0000466,BR0000345,BU0031829,2007-04-03,Yes
BI0000467,BR0009857,BU0027375,2007-04-03,No
BI0000468,BR0020783,BU0027429,2007-04-03,Yes
BI0000469,BR0000346,BU0012490,2007-04-04,Yes
BI0000470,BR0009858,BU0023369,2007-04-04,Yes
BI0000471,BR0020784,BU0040764,2007-04-04,Yes
BI0000472,BR0000347,BU0015955,2007-04-05,Yes
BI0000473,BR0009859,BU0038868,2007-04-05,Yes
BI0000474,BR0020785,BU0014124,2007-04-05,Yes
BI0000475,BR0000348,BU0016264,2007-04-06,Yes
BI0000476,BR0009860,BU0014125,2007-04-06,No
BI0000477,BR0020786,BU0017255,2007-04-06,Yes
BI0000478,BR0000349,BU0033014,2007-04-07,Yes
BI0000479,BR0009861,BU0032676,2007-04-07,No
BI0000480,BR0020787,BU0037001,2007-04-07,Yes
BI0000481,BR0020788,BU0030202,2007-04-08,Yes
BI0000482,BR0000350,BU0009380,2007-04-08,Yes
BI0000483,BR0009862,BU0037672,2007-04-08,No
BI0000484,BR0000351,BU0031109,2007-04-09,Yes
BI0000485,BR0009863,BU0039833,2007-04-09,No
BI0000486,BR0009864,BU0011378,2007-04-10,Yes
BI0000487,BR0020790,BU0039834,2007-04-10,Yes
BI0000488,BR0000352,BU0029890,2007-04-10,Yes
BI0000489,BR0020791,BU0002827,2007-04-11,Yes
