date,blood_group,opening_inventory,units_received,units_issued,units_discarded,closing_inventory
2006-01-28,A,1936,63,115,11,1873
2006-01-28,AB,419,8,30,3,394
2006-01-28,B,2032,34,106,11,1949
2006-01-28,O,2987,65,176,24,2852
2006-01-29,A,1873,0,113,9,1751
2006-01-29,AB,394,0,30,3,361
2006-01-29,B,1949,0,132,12,1805
2006-01-29,O,2852,0,184,14,2654
2006-01-30,A,1751,10,115,7,1639
2006-01-30,AB,361,2,24,1,338
2006-01-30,B,1805,14,139,11,1669
2006-01-30,O,2654,16,170,14,2486
2006-01-31,A,1639,23,113,9,1540
2006-01-31,AB,338,4,25,0,317
2006-01-31,B,1669,24,112,9,1572
2006-01-31,O,2486,34,148,20,2352
2006-02-01,A,1540,49,126,8,1455
2006-02-01,AB,317,28,26,0,319
2006-02-01,B,1572,83,171,7,1477
2006-02-01,O,2352,116,154,15,2299
2006-02-02,A,1455,100,112,4,1439
2006-02-02,AB,319,23,28,5,309
2006-02-02,B,1477,94,125,8,1438
2006-02-02,O,2299,194,149,18,2326
2006-02-03,A,1439,61,111,11,1378
2006-02-03,AB,309,9,29,2,287
2006-02-03,B,1438,45,122,9,1352
2006-02-03,O,2326,84,191,10,2209
2006-02-04,A,1378,70,117,6,1325
2006-02-04,AB,287,18,70,0,235
2006-02-04,B,1352,103,119,7,1329
2006-02-04,O,2209,137,183,12,2151
2006-02-05,A,1325,103,96,5,1327
2006-02-05,AB,235,34,24,2,243
2006-02-05,B,1329,118,102,5,1340
2006-02-05,O,2151,170,151,8,2162
2006-02-06,A,1327,151,95,9,1374
2006-02-06,AB,243,31,23,1,250
2006-02-06,B,1340,183,139,6,1378
2006-02-06,O,2162,251,164,12,2237
2006-02-07,A,1374,216,114,5,1471
2006-02-07,AB,250,58,18,1,289
2006-02-07,B,1378,195,142,11,1420
2006-02-07,O,2237,290,172,9,2346
2006-02-08,A,1471,347,147,9,1662
2006-02-08,AB,289,92,33,2,346
2006-02-08,B,1420,442,129,13,1720
2006-02-08,O,2346,575,181,16,2724
2006-02-09,A,1662,273,125,10,1800
2006-02-09,AB,346,62,30,1,377
2006-02-09,B,1720,287,136,11,1860
2006-02-09,O,2724,420,176,15,2953
2006-02-10,A,1800,239,138,11,1890
2006-02-10,AB,377,87,27,2,435
2006-02-10,B,1860,353,146,8,2059
2006-02-10,O,2953,457,206,19,3185
2006-02-11,A,1890,462,107,27,2218
2006-02-11,AB,435,158,19,5,569
2006-02-11,B,2059,670,147,17,2565
2006-02-11,O,3185,857,195,34,3813
2006-02-12,A,2218,161,149,20,2210
2006-02-12,AB,569,36,35,5,565
2006-02-12,B,2565,148,161,20,2532
2006-02-12,O,3813,248,192,39,3830
2006-02-13,A,2210,41,160,13,2078
2006-02-13,AB,565,20,36,5,544
2006-02-13,B,2532,56,165,23,2400
2006-02-13,O,3830,102,245,31,3656
2006-02-14,A,2078,121,150,19,2030
2006-02-14,AB,544,38,46,4,532
2006-02-14,B,2400,132,156,15,2361
2006-02-14,O,3656,156,223,19,3570
2006-02-15,A,2030,174,148,17,2039
2006-02-15,AB,532,86,26,4,588
2006-02-15,B,2361,238,181,13,2405
2006-02-15,O,3570,301,233,28,3610
2006-02-16,A,2039,124,133,11,2019
2006-02-16,AB,588,47,31,6,598
2006-02-16,B,2405,183,165,21,2402
2006-02-16,O,3610,276,206,42,3638
2006-02-17,A,2019,64,149,10,1924
2006-02-17,AB,598,13,38,4,569
2006-02-17,B,2402,69,169,14,2288
2006-02-17,O,3638,92,199,19,3512
2006-02-18,A,1924,336,114,11,2135
2006-02-18,AB,569,84,36,3,614
2006-02-18,B,2288,322,164,23,2423
2006-02-18,O,3512,469,180,23,3778
2006-02-19,A,2135,79,102,14,2098
2006-02-19,AB,614,20,33,4,597
2006-02-19,B,2423,57,147,20,2313
2006-02-19,O,3778,136,161,29,3724
2006-02-20,A,2098,93,140,20,2031
2006-02-20,AB,597,27,28,5,591
2006-02-20,B,2313,92,132,15,2258
2006-02-20,O,3724,121,201,29,3615
2006-02-21,A,2031,366,124,17,2256
2006-02-21,AB,591,99,39,5,646
2006-02-21,B,2258,415,182,19,2472
2006-02-21,O,3615,581,212,33,3951
2006-02-22,A,2256,214,147,18,2305
2006-02-22,AB,646,43,32,6,651
2006-02-22,B,2472,247,178,22,2519
2006-02-22,O,3951,353,208,36,4060
2006-02-23,A,2305,150,143,25,2287
2006-02-23,AB,651,42,29,6,658
2006-02-23,B,2519,226,179,21,2545
2006-02-23,O,4060,284,193,33,4118
2006-02-24,A,2287,145,142,26,2264
2006-02-24,AB,658,36,30,4,660
2006-02-24,B,2545,149,138,26,2530
2006-02-24,O,4118,222,196,33,4111
2006-02-25,A,2264,178,125,16,2301
2006-02-25,AB,660,56,38,8,670
2006-02-25,B,2530,223,141,24,2588
2006-02-25,O,4111,303,168,41,4205
2006-02-26,A,2301,130,107,22,2302
2006-02-26,AB,670,33,38,5,660
2006-02-26,B,2588,117,169,20,2516
2006-02-26,O,4205,187,229,35,4128
2006-02-27,A,2302,172,159,12,2303
2006-02-27,AB,660,63,43,8,672
2006-02-27,B,2516,222,155,17,2566
2006-02-27,O,4128,264,214,38,4140
2006-02-28,A,2303,124,134,14,2279
2006-02-28,AB,672,30,38,6,658
2006-02-28,B,2566,148,212,26,2476
2006-02-28,O,4140,221,202,29,4130
2006-03-01,A,2279,202,171,19,2291
2006-03-01,AB,658,52,40,7,663
2006-03-01,B,2476,236,178,32,2502
2006-03-01,O,4130,337,229,37,4201
2006-03-02,A,2291,216,159,21,2327
2006-03-02,AB,663,65,43,5,680
2006-03-02,B,2502,224,197,23,2506
2006-03-02,O,4201,346,245,38,4264
2006-03-03,A,2327,148,138,17,2320
2006-03-03,AB,680,43,48,9,666
2006-03-03,B,2506,177,162,21,2500
2006-03-03,O,4264,255,211,45,4263
2006-03-04,A,2320,104,131,14,2279
2006-03-04,AB,666,44,40,9,661
2006-03-04,B,2500,144,170,18,2456
2006-03-04,O,4263,201,200,34,4230
2006-03-05,A,2279,256,132,18,2385
2006-03-05,AB,661,80,43,9,689
2006-03-05,B,2456,271,171,22,2534
2006-03-05,O,4230,387,513,43,4061
2006-03-06,A,2385,152,141,26,2370
2006-03-06,AB,689,42,51,7,673
2006-03-06,B,2534,159,167,30,2496
2006-03-06,O,4061,260,245,41,4035
2006-03-07,A,2370,142,157,22,2333
2006-03-07,AB,673,40,62,7,644
2006-03-07,B,2496,166,185,15,2462
2006-03-07,O,4035,233,237,29,4002
2006-03-08,A,2333,243,171,36,2369
2006-03-08,AB,644,64,48,7,653
2006-03-08,B,2462,242,211,23,2470
2006-03-08,O,4002,396,277,22,4099
2006-03-09,A,2369,155,157,18,2349
2006-03-09,AB,653,38,36,6,649
2006-03-09,B,2470,174,230,16,2398
2006-03-09,O,4099,236,259,38,4038
2006-03-10,A,2349,91,170,18,2252
2006-03-10,AB,649,25,37,5,632
2006-03-10,B,2398,126,212,18,2294
2006-03-10,O,4038,182,234,31,3955
2006-03-11,A,2252,116,134,22,2212
2006-03-11,AB,632,36,65,6,597
2006-03-11,B,2294,182,170,18,2288
2006-03-11,O,3955,205,237,45,3878
2006-03-12,A,2212,169,141,19,2221
2006-03-12,AB,597,33,39,8,583
2006-03-12,B,2288,172,174,13,2273
2006-03-12,O,3878,235,200,29,3884
2006-03-13,A,2221,106,124,15,2188
2006-03-13,AB,583,30,49,5,559
2006-03-13,B,2273,83,190,11,2155
2006-03-13,O,3884,180,212,31,3821
2006-03-14,A,2188,192,132,18,2230
2006-03-14,AB,559,47,36,2,568
2006-03-14,B,2155,166,190,7,2124
2006-03-14,O,3821,312,215,26,3892
2006-03-15,A,2230,184,141,13,2260
2006-03-15,AB,568,61,46,6,577
2006-03-15,B,2124,248,173,10,2189
2006-03-15,O,3892,323,214,28,3973
2006-03-16,A,2260,334,156,26,2412
2006-03-16,AB,577,93,42,7,621
2006-03-16,B,2189,358,180,20,2347
2006-03-16,O,3973,484,245,42,4170
2006-03-17,A,2412,110,173,16,2333
2006-03-17,AB,621,29,39,5,606
2006-03-17,B,2347,125,184,21,2267
2006-03-17,O,4170,159,197,40,4092
2006-03-18,A,2333,135,123,20,2325
2006-03-18,AB,606,32,46,5,587
2006-03-18,B,2267,133,128,15,2257
2006-03-18,O,4092,175,199,39,4029
2006-03-19,A,2325,175,131,20,2349
2006-03-19,AB,587,51,38,8,592
2006-03-19,B,2257,187,164,12,2268
2006-03-19,O,4029,350,210,40,4129
2006-03-20,A,2349,134,168,16,2299
2006-03-20,AB,592,17,37,6,566
2006-03-20,B,2268,116,151,15,2218
2006-03-20,O,4129,181,212,43,4055
2006-03-21,A,2299,232,148,27,2356
2006-03-21,AB,566,69,48,7,580
2006-03-21,B,2218,212,169,13,2248
2006-03-21,O,4055,343,209,28,4161
2006-03-22,A,2356,154,148,19,2343
2006-03-22,AB,580,33,31,2,580
2006-03-22,B,2248,184,174,18,2240
2006-03-22,O,4161,231,248,36,4108
2006-03-23,A,2343,126,138,27,2304
2006-03-23,AB,580,38,43,5,570
2006-03-23,B,2240,168,162,13,2233
2006-03-23,O,4108,230,206,42,4090
2006-03-24,A,2304,98,151,21,2230
2006-03-24,AB,570,53,40,6,577
2006-03-24,B,2233,106,160,12,2167
2006-03-24,O,4090,183,230,33,4010
2006-03-25,A,2230,170,133,18,2249
2006-03-25,AB,577,40,35,9,573
2006-03-25,B,2167,215,137,14,2231
2006-03-25,O,4010,285,189,34,4072
2006-03-26,A,2249,115,116,9,2239
2006-03-26,AB,573,33,41,6,559
2006-03-26,B,2231,93,161,21,2142
2006-03-26,O,4072,193,204,32,4029
2006-03-27,A,2239,166,160,11,2234
2006-03-27,AB,559,29,33,4,551
2006-03-27,B,2142,157,170,14,2115
2006-03-27,O,4029,241,242,56,3972
2006-03-28,A,2234,188,157,22,2243
2006-03-28,AB,551,44,36,8,551
2006-03-28,B,2115,204,173,14,2132
2006-03-28,O,3972,320,240,32,4020
2006-03-29,A,2243,312,167,19,2369
2006-03-29,AB,551,86,36,5,596
2006-03-29,B,2132,378,161,15,2334
2006-03-29,O,4020,553,253,34,4286
2006-03-30,A,2369,257,163,15,2448
2006-03-30,AB,596,58,34,5,615
2006-03-30,B,2334,285,188,23,2408
2006-03-30,O,4286,487,244,45,4484
2006-03-31,A,2448,193,150,20,2471
2006-03-31,AB,615,53,44,11,613
2006-03-31,B,2408,204,163,21,2428
2006-03-31,O,4484,292,220,37,4519
2006-04-01,A,2471,176,136,20,2491
2006-04-01,AB,613,49,39,7,616
2006-04-01,B,2428,181,174,18,2417
2006-04-01,O,4519,267,220,54,4512
2006-04-02,A,2491,106,145,30,2422
2006-04-02,AB,616,24,31,4,605
2006-04-02,B,2417,107,159,19,2346
2006-04-02,O,4512,166,238,41,4399
2006-04-03,A,2422,67,149,25,2315
2006-04-03,AB,605,23,42,8,578
2006-04-03,B,2346,91,324,19,2094
2006-04-03,O,4399,111,245,27,4238
2006-04-04,A,2315,191,158,16,2332
2006-04-04,AB,578,63,32,5,604
2006-04-04,B,2094,238,167,14,2151
2006-04-04,O,4238,281,234,38,4247
2006-04-05,A,2332,125,153,13,2291
2006-04-05,AB,604,34,35,8,595
2006-04-05,B,2151,111,177,13,2072
2006-04-05,O,4247,201,246,43,4159
2006-04-06,A,2291,101,179,18,2195
2006-04-06,AB,595,27,36,7,579
2006-04-06,B,2072,112,178,11,1995
2006-04-06,O,4159,165,225,32,4067
2006-04-07,A,2195,38,141,17,2075
2006-04-07,AB,579,7,45,3,538
2006-04-07,B,1995,43,183,10,1845
2006-04-07,O,4067,65,203,35,3894
2006-04-08,A,2075,189,148,16,2100
2006-04-08,AB,538,59,32,4,561
2006-04-08,B,1845,200,168,10,1867
2006-04-08,O,3894,294,215,29,3944
2006-04-09,A,2100,305,115,24,2266
2006-04-09,AB,561,67,36,2,590
2006-04-09,B,1867,328,139,13,2043
2006-04-09,O,3944,530,206,37,4231
2006-04-10,A,2266,142,159,24,2225
2006-04-10,AB,590,56,43,10,593
2006-04-10,B,2043,151,153,8,2033
2006-04-10,O,4231,217,272,43,4133
2006-04-11,A,2225,93,151,17,2150
2006-04-11,AB,593,11,43,3,558
2006-04-11,B,2033,111,183,14,1947
2006-04-11,O,4133,134,232,39,3996
2006-04-12,A,2150,82,146,19,2067
2006-04-12,AB,558,30,43,6,539
2006-04-12,B,1947,106,164,12,1877
2006-04-12,O,3996,135,238,33,3860
2006-04-13,A,2067,155,153,12,2057
2006-04-13,AB,539,36,35,6,534
2006-04-13,B,1877,145,150,14,1858
2006-04-13,O,3860,303,228,34,3901
2006-04-14,A,2057,170,147,17,2063
2006-04-14,AB,534,60,33,7,554
2006-04-14,B,1858,187,173,11,1861
2006-04-14,O,3901,264,205,38,3922
2006-04-15,A,2063,63,133,10,1983
2006-04-15,AB,554,27,41,5,535
2006-04-15,B,1861,78,141,11,1787
2006-04-15,O,3922,150,202,43,3827
2006-04-16,A,1983,179,102,12,2048
2006-04-16,AB,535,39,39,6,529
2006-04-16,B,1787,159,146,9,1791
2006-04-16,O,3827,282,172,26,3911
2006-04-17,A,2048,98,122,11,2013
2006-04-17,AB,529,28,44,3,510
2006-04-17,B,1791,99,157,11,1722
2006-04-17,O,3911,154,208,26,3831
2006-04-18,A,2013,108,133,10,1978
2006-04-18,AB,510,38,41,3,504
2006-04-18,B,1722,149,133,14,1724
2006-04-18,O,3831,224,198,30,3827
2006-04-19,A,1978,202,173,6,2001
2006-04-19,AB,504,47,43,3,505
2006-04-19,B,1724,212,176,7,1753
2006-04-19,O,3827,347,207,35,3932
2006-04-20,A,2001,146,161,14,1972
2006-04-20,AB,505,39,38,1,505
2006-04-20,B,1753,156,168,6,1735
2006-04-20,O,3932,216,197,36,3915
2006-04-21,A,1972,130,163,16,1923
2006-04-21,AB,505,43,39,6,503
2006-04-21,B,1735,134,153,12,1704
2006-04-21,O,3915,211,168,30,3928
2006-04-22,A,1923,161,121,10,1953
2006-04-22,AB,503,61,32,3,529
2006-04-22,B,1704,203,153,11,1743
2006-04-22,O,3928,282,178,24,4008
2006-04-23,A,1953,225,124,18,2036
2006-04-23,AB,529,58,34,5,548
2006-04-23,B,1743,264,150,15,1842
2006-04-23,O,4008,351,198,31,4130
2006-04-24,A,2036,67,137,12,1954
2006-04-24,AB,548,16,32,5,527
2006-04-24,B,1842,68,160,20,1730
2006-04-24,O,4130,96,216,27,3983
2006-04-25,A,1954,63,118,8,1891
2006-04-25,AB,527,26,33,2,518
2006-04-25,B,1730,56,163,8,1615
2006-04-25,O,3983,90,205,39,3829
2006-04-26,A,1891,338,143,9,2077
2006-04-26,AB,518,74,37,4,551
2006-04-26,B,1615,396,143,10,1858
2006-04-26,O,3829,494,256,41,4026
2006-04-27,A,2077,143,144,14,2062
2006-04-27,AB,551,32,34,7,542
2006-04-27,B,1858,178,167,14,1855
2006-04-27,O,4026,239,230,41,3994
2006-04-28,A,2062,104,111,16,2039
2006-04-28,AB,542,42,33,3,548
2006-04-28,B,1855,109,158,13,1793
2006-04-28,O,3994,185,183,30,3966
2006-04-29,A,2039,63,140,12,1950
2006-04-29,AB,548,22,26,2,542
2006-04-29,B,1793,71,128,9,1727
2006-04-29,O,3966,121,170,34,3883
2006-04-30,A,1950,99,87,14,1948
2006-04-30,AB,542,20,25,4,533
2006-04-30,B,1727,110,134,6,1697
2006-04-30,O,3883,159,170,32,3840
2006-05-01,A,1948,499,139,25,2283
2006-05-01,AB,533,133,39,8,619
2006-05-01,B,1697,459,167,16,1973
2006-05-01,O,3840,837,200,44,4433
2006-05-02,A,2283,78,111,17,2233
2006-05-02,AB,619,25,29,10,605
2006-05-02,B,1973,102,172,9,1894
2006-05-02,O,4433,132,208,45,4312
2006-05-03,A,2233,165,145,17,2236
2006-05-03,AB,605,39,42,4,598
2006-05-03,B,1894,131,157,12,1856
2006-05-03,O,4312,231,211,42,4290
2006-05-04,A,2236,104,137,15,2188
2006-05-04,AB,598,36,26,10,598
2006-05-04,B,1856,93,144,9,1796
2006-05-04,O,4290,168,186,45,4227
2006-05-05,A,2188,68,149,21,2086
2006-05-05,AB,598,24,25,6,591
2006-05-05,B,1796,108,139,11,1754
2006-05-05,O,4227,141,208,41,4119
2006-05-06,A,2086,238,138,9,2177
2006-05-06,AB,591,72,18,5,640
2006-05-06,B,1754,258,123,14,1875
2006-05-06,O,4119,416,191,48,4296
2006-05-07,A,2177,221,136,15,2247
2006-05-07,AB,640,64,35,6,663
2006-05-07,B,1875,228,149,13,1941
2006-05-07,O,4296,423,190,49,4480
2006-05-08,A,2247,89,143,11,2182
2006-05-08,AB,663,26,43,8,638
2006-05-08,B,1941,118,169,7,1883
2006-05-08,O,4480,146,239,39,4348
2006-05-09,A,2182,79,144,16,2101
2006-05-09,AB,638,16,36,11,607
2006-05-09,B,1883,73,138,9,1809
2006-05-09,O,4348,104,209,45,4198
2006-05-10,A,2101,118,127,13,2079
2006-05-10,AB,607,33,35,11,594
2006-05-10,B,1809,128,154,9,1774
2006-05-10,O,4198,175,202,38,4133
2006-05-11,A,2079,224,138,18,2147
2006-05-11,AB,594,61,43,9,603
2006-05-11,B,1774,241,147,11,1857
2006-05-11,O,4133,440,176,57,4340
2006-05-12,A,2147,342,154,14,2321
2006-05-12,AB,603,62,48,7,610
2006-05-12,B,1857,351,166,13,2029
2006-05-12,O,4340,501,210,60,4571
2006-05-13,A,2321,121,113,11,2318
2006-05-13,AB,610,51,29,6,626
2006-05-13,B,2029,183,147,16,2049
2006-05-13,O,4571,227,191,48,4559
2006-05-14,A,2318,342,140,26,2494
2006-05-14,AB,626,58,46,4,634
2006-05-14,B,2049,349,131,8,2259
2006-05-14,O,4559,565,196,56,4872
2006-05-15,A,2494,126,143,26,2451
2006-05-15,AB,634,36,36,6,628
2006-05-15,B,2259,105,158,10,2196
2006-05-15,O,4872,169,202,56,4783
2006-05-16,A,2451,114,128,20,2417
2006-05-16,AB,628,30,45,3,610
2006-05-16,B,2196,129,146,14,2165
2006-05-16,O,4783,181,235,45,4684
2006-05-17,A,2417,194,160,19,2432
2006-05-17,AB,610,54,38,5,621
2006-05-17,B,2165,239,167,15,2222
2006-05-17,O,4684,299,219,57,4707
2006-05-18,A,2432,121,175,17,2361
2006-05-18,AB,621,27,48,5,595
2006-05-18,B,2222,124,176,18,2152
2006-05-18,O,4707,151,222,37,4599
2006-05-19,A,2361,99,172,18,2270
2006-05-19,AB,595,27,48,3,571
2006-05-19,B,2152,74,167,9,2050
2006-05-19,O,4599,139,198,59,4481
2006-05-20,A,2270,181,158,16,2277
2006-05-20,AB,571,44,42,4,569
2006-05-20,B,2050,222,138,13,2121
2006-05-20,O,4481,280,203,50,4508
2006-05-21,A,2277,254,143,23,2365
2006-05-21,AB,569,65,35,4,595
2006-05-21,B,2121,243,139,19,2206
2006-05-21,O,4508,354,202,45,4615
2006-05-22,A,2365,65,173,19,2238
2006-05-22,AB,595,12,36,6,565
2006-05-22,B,2206,60,151,11,2104
2006-05-22,O,4615,102,199,47,4471
2006-05-23,A,2238,215,156,12,2285
2006-05-23,AB,565,43,25,8,575
2006-05-23,B,2104,210,146,14,2154
2006-05-23,O,4471,341,224,54,4534
2006-05-24,A,2285,165,167,14,2269
2006-05-24,AB,575,47,39,10,573
2006-05-24,B,2154,167,206,23,2092
2006-05-24,O,4534,287,214,50,4557
2006-05-25,A,2269,235,180,28,2296
2006-05-25,AB,573,51,40,4,580
2006-05-25,B,2092,213,183,15,2107
2006-05-25,O,4557,418,200,49,4726
2006-05-26,A,2296,137,153,18,2262
2006-05-26,AB,580,46,50,3,573
2006-05-26,B,2107,187,172,23,2099
2006-05-26,O,4726,232,250,60,4648
2006-05-27,A,2262,94,159,19,2178
2006-05-27,AB,573,24,32,5,560
2006-05-27,B,2099,115,158,15,2041
2006-05-27,O,4648,147,185,48,4562
2006-05-28,A,2178,225,155,14,2234
2006-05-28,AB,560,53,42,4,567
2006-05-28,B,2041,196,145,18,2074
2006-05-28,O,4562,330,199,47,4646
2006-05-29,A,2234,87,159,17,2145
2006-05-29,AB,567,17,43,2,539
2006-05-29,B,2074,94,153,9,2006
2006-05-29,O,4646,112,242,53,4463
2006-05-30,A,2145,88,169,19,2045
2006-05-30,AB,539,23,44,4,514
2006-05-30,B,2006,115,162,14,1945
2006-05-30,O,4463,157,190,34,4396
2006-05-31,A,2045,81,151,7,1968
2006-05-31,AB,514,19,36,3,494
2006-05-31,B,1945,73,157,15,1846
2006-05-31,O,4396,183,217,49,4313
2006-06-01,A,1968,117,172,9,1904
2006-06-01,AB,494,34,33,4,491
2006-06-01,B,1846,152,146,16,1836
2006-06-01,O,4313,228,162,30,4349
2006-06-02,A,1904,121,439,8,1578
2006-06-02,AB,491,32,34,7,482
2006-06-02,B,1836,170,131,6,1869
2006-06-02,O,4349,227,184,42,4350
2006-06-03,A,1578,67,136,7,1502
2006-06-03,AB,482,15,31,5,461
2006-06-03,B,1869,93,147,11,1804
2006-06-03,O,4350,135,175,50,4260
2006-06-04,A,1502,160,126,8,1528
2006-06-04,AB,461,40,33,4,464
2006-06-04,B,1804,170,147,10,1817
2006-06-04,O,4260,229,163,27,4299
2006-06-05,A,1528,46,142,9,1423
2006-06-05,AB,464,10,38,4,432
2006-06-05,B,1817,45,155,8,1699
2006-06-05,O,4299,74,196,31,4146
2006-06-06,A,1423,54,155,17,1305
2006-06-06,AB,432,12,38,1,405
2006-06-06,B,1699,63,168,13,1581
2006-06-06,O,4146,93,189,33,4017
2006-06-07,A,1305,123,164,6,1258
2006-06-07,AB,405,33,56,3,379
2006-06-07,B,1581,118,147,4,1548
2006-06-07,O,4017,207,187,41,3996
2006-06-08,A,1258,87,149,2,1194
2006-06-08,AB,379,22,35,1,365
2006-06-08,B,1548,77,156,9,1460
2006-06-08,O,3996,137,163,33,3937
2006-06-09,A,1194,54,161,3,1084
2006-06-09,AB,365,16,30,5,346
2006-06-09,B,1460,68,158,9,1361
2006-06-09,O,3937,110,185,27,3835
2006-06-10,A,1084,76,138,5,1017
2006-06-10,AB,346,22,26,3,339
2006-06-10,B,1361,81,123,10,1309
2006-06-10,O,3835,140,134,28,3813
2006-06-11,A,1017,187,108,7,1089
2006-06-11,AB,339,52,23,1,367
2006-06-11,B,1309,167,148,13,1315
2006-06-11,O,3813,303,143,40,3933
2006-06-12,A,1089,90,166,9,1004
2006-06-12,AB,367,19,25,1,360
2006-06-12,B,1315,84,126,16,1257
2006-06-12,O,3933,196,193,34,3902
2006-06-13,A,1004,78,134,3,945
2006-06-13,AB,360,14,33,1,340
2006-06-13,B,1257,57,115,8,1191
2006-06-13,O,3902,130,185,27,3820
2006-06-14,A,945,58,116,4,883
2006-06-14,AB,340,20,32,1,327
2006-06-14,B,1191,62,117,8,1128
2006-06-14,O,3820,93,137,28,3748
2006-06-15,A,883,178,155,6,900
2006-06-15,AB,327,55,33,1,348
2006-06-15,B,1128,195,121,6,1196
2006-06-15,O,3748,335,159,34,3890
2006-06-16,A,900,188,119,8,961
2006-06-16,AB,348,56,22,4,378
2006-06-16,B,1196,167,123,9,1231
2006-06-16,O,3890,266,154,39,3963
2006-06-17,A,961,246,122,7,1078
2006-06-17,AB,378,57,33,3,399
2006-06-17,B,1231,208,133,10,1296
